N_TOKENS,einsum,arch,energy,latency,ops_per_tensor_element,ops_per_cycle,allocation
1024,I,AiM,5.554348247885452e-15,1.5999999547489097e-08,0.5,256.0,
1024,V_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
1024,K_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
1024,Q_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
1024,QK,AiM,0.0001943619056468312,8.768000043346547e-06,0.9912875121006777,478.3649597167969,
1024,QK_softmax,AiM,2.5700598204347855e-06,1.2799999637991277e-07,0.5,256.0,
1024,AV,AiM,0.0001933567799975528,8.711999726074282e-06,0.9912875121006777,481.4398498535156,
1024,Z,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
1024,FFA,AiM,0.003091985407426836,0.00013929599663242698,0.9996949173225944,481.7716369628906,
1024,FFB,AiM,0.00309155463936439,0.0001392720005242154,0.9996949173225944,481.85467529296875,
1024,I,TPU,3.893493669693271e-07,1.2799999637991277e-07,0.5,32.000000905021835,
1024,V_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
1024,K_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
1024,Q_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
1024,QK,TPU,0.0004356826283755228,0.00013222399866208434,0.9912875121006777,31.72120070819436,
1024,QK_softmax,TPU,6.77065507338673e-06,2.0479999420786044e-06,0.5,16.000000452510918,
1024,AV,TPU,0.0004359746239872126,0.00013222399866208434,0.9912875121006777,31.72120070819436,
1024,Z,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
1024,FFA,TPU,0.0069165293384465185,0.0020977919921278954,0.9996949173225944,31.990237474368524,
1024,FFB,TPU,0.0069166728618192605,0.0020977919921278954,0.9996949173225944,31.990237474368524,
1024,I,Hybrid,5.554348247885452e-15,1.5999999547489097e-08,0.5,256.0,AiM
1024,V_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
1024,K_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
1024,Q_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
